movie,all_critics,top_critics,audience,all_up,all_down,top_up,top_down,bechdel,peirce,landau,feldman,villareal,hagen,ko,villarobos,waithe,koeze_dottle,uphold,white,rees-davies
Bad Moms,58,69,63,87,63,24,11,0,0,0,1,0,0,0,1,0,0,1,1,1
Hidden Figures,92,97,93,234,19,37,1,0,0,0,0,0,1,0,1,0,1,1,1,1
Independence Day: Resurgence,31,14,30,62,141,8,24,0,0,1,0,0,1,0,1,0,0,1,1,1
Finding Dory,94,90,84,275,17,47,5,0,0,1,0,0,0,1,1,1,1,1,1,0
Ghostbusters,74,60,52,247,89,30,20,0,0,0,0,0,1,0,1,1,1,1,1,1
Allegiant,12,0,42,22,155,0,35,0,0,1,0,0,1,0,1,1,1,1,1,1
Arrival,64,71,43,321,22,47,5,0,0,1,0,0,1,1,1,1,0,1,1,1
Ice Age: Collision Course,16,8,40,18,94,2,23,0,1,0,1,1,1,0,1,1,0,1,1,0
Kung Fu Panda 3,86,76,78,139,22,26,8,0,1,0,0,1,1,0,1,1,1,1,1,0
Miss Peregrine's Home for Peculiar Children,63,56,60,134,79,22,17,0,0,0,0,0,1,1,1,1,1,1,1,1
Sing,73,67,73,121,44,20,11,0,0,1,1,1,1,0,1,1,0,1,1,0
The Boss,22,18,39,40,139,7,32,0,0,0,0,1,1,1,1,1,0,1,1,1
The Girl on the Train,79,86,41,117,145,14,32,0,0,1,0,0,1,1,1,1,0,1,1,1
Boo! A Madea Halloween,23,30,53,8,27,3,7,0,0,1,1,1,1,0,1,0,0,1,1,1
Alice Through the Looking Glass,29,29,49,69,165,5,33,0,0,1,0,1,1,1,1,1,1,1,1,0
Fantastic Beasts and Where to Find Them,74,69,79,210,74,34,19,0,0,1,1,0,1,0,1,1,1,1,1,1
La La Land,92,96,81,344,31,54,2,0,0,1,1,0,1,1,1,1,0,1,1,1
Now You See Me 2,33,30,53,58,117,10,23,1,0,0,1,0,1,0,1,1,1,1,1,1
Passengers,30,18,63,72,116,7,33,1,0,0,1,0,1,1,1,1,0,1,1,1
Pete's Dragon,87,83,72,186,27,33,7,0,1,1,0,0,1,1,1,1,1,1,1,0
Sausage Party,82,86,50,165,36,31,5,0,0,1,1,1,1,0,1,1,1,1,1,0
Storks,63,61,62,76,44,17,11,1,0,1,1,0,1,1,1,1,0,1,1,0
Suicide Squad,26,20,60,85,239,11,43,0,0,1,1,1,1,0,1,1,1,1,1,0
The Conjuring 2,79,78,81,179,47,25,7,0,0,1,1,0,1,1,1,1,0,1,1,1
The Purge: Election Year,53,66,48,77,67,19,10,0,0,1,1,0,1,0,1,1,1,1,1,1
X-Men: Apocalypse,48,36,66,144,157,16,28,0,0,0,1,0,1,1,1,1,1,1,1,1
10 Cloverfield Lane,90,91,79,250,28,39,4,0,0,1,1,0,1,1,1,1,1,1,1,1
Batman v Superman: Dawn of Justice,27,23,63,102,273,12,40,1,0,1,1,0,1,1,1,1,1,1,1,0
Captain America: Civil War,91,89,89,325,34,48,6,0,0,1,1,1,1,1,1,1,1,1,1,0
Central Intelligence,70,64,61,121,53,23,13,1,0,1,1,1,1,0,1,0,1,1,1,1
Don't Breathe,87,94,79,173,25,33,2,0,0,1,1,1,1,1,1,1,0,1,1,1
Hacksaw Ridge,86,93,91,210,34,42,3,1,1,0,1,0,1,1,1,1,1,1,1,0
Lights Out,76,79,62,122,38,26,7,0,0,1,1,1,1,1,1,1,0,1,1,1
Moana,89,100,70,229,10,42,1,0,0,1,1,1,1,0,1,1,1,1,1,1
Ride Along 2,13,25,48,15,98,7,21,1,0,0,1,1,1,0,1,1,1,1,1,1
Star Trek Beyond,84,79,80,226,42,38,10,1,0,1,1,1,1,0,1,1,1,1,1,0
Sully,86,80,84,260,44,35,9,1,1,0,1,0,1,1,1,1,0,1,1,1
Teenage Mutant Ninja Turtles: Out of the Shadows,36,28,47,56,99,7,18,0,1,0,1,0,1,1,1,1,1,1,1,1
The Angry Birds Movie,44,44,46,65,84,11,14,1,1,0,1,0,1,0,1,1,1,1,1,1
The Magnificent Seven,63,46,72,172,102,21,25,1,0,0,1,0,1,1,1,1,1,1,1,1
Trolls,74,64,68,107,38,18,10,0,0,1,1,1,1,1,1,1,0,1,1,1
Zootopia,98,98,92,250,6,42,1,0,0,1,1,0,1,1,1,1,1,1,1,1
Jason Bourne,55,51,56,157,126,24,23,1,0,1,1,1,1,1,1,1,1,1,1,0
Rogue One,85,77,87,312,55,43,13,0,0,1,1,1,1,1,1,1,1,1,1,1
The Accountant,52,47,77,130,121,21,24,1,0,1,1,1,1,0,1,1,1,1,1,1
The Jungle Book,95,93,86,278,15,41,3,1,1,0,1,1,1,0,1,1,1,1,1,1
The Legend of Tarzan,36,36,59,80,142,15,27,1,0,1,1,0,1,1,1,1,1,1,1,1
Deadpool,83,70,90,252,50,31,13,1,1,1,1,1,1,1,1,1,0,1,1,1
Doctor Strange,89,85,86,272,32,41,7,1,1,1,1,1,1,1,1,1,1,1,1,0
The Secret Life of Pets,74,77,62,152,53,33,10,1,0,1,1,1,1,1,1,1,1,1,1,1
